,name,sweet,sour,tender,bitter,abundant
0,산미구엘 맥주,13,61,8,8,2
1,크로넨버그 1664 라거,42,14,22,16,7
2,크로낸버그 1664 블랑,9,47,17,19,1
3,1906 맥주,5,68,8,11,1
4,뢰벤브로이맥주,21,35,14,17,2
5,밀러 제뉴인 드래프트,18,30,21,20,4
6,포엑스 골드 맥주,28,32,14,13,2
7,에페스 맥주,13,34,21,41,16
8,롬자엑스포트,30,4,38,18,6
9,롱보드아일랜드,34,2,26,30,8
10,르샤누아,67,1,11,9,2
11,마레드수스,39,4,27,34,16
12,몬티스섬머에일,63,3,24,19,22
13,몬티스오리지널에일,50,2,19,26,5
14,민타임,31,2,21,37,7
15,스윙켈스맥주,16,44,17,17,6
16,바이엔슈테판,33,1,26,18,7
17,바이엔슈테판크리스탈,33,3,35,26,13
18,바이엔슈테판헤페바이스,38,3,32,23,12
19,바이엔슈테판비투스,39,4,33,24,10
20,발렌틴스,25,0,25,45,0
21,마이쉘 맥주,21,48,12,4,1
22,베어비어휘트바이젠,28,3,41,12,3
23,밸라스트포인트IPA,45,4,21,32,8
24,밸라스트포인트스컬핀,8,8,8,74,0
25,밸라스트포인트칼리코,30,0,20,30,20
26,발티카no3,19,6,20,28,7
27,발티카no7,33,1,30,26,9
28,버드아이스,6,0,38,46,0
29,버드와이저,6,59,14,10,2
30,벡스,26,4,35,21,3
31,벡스다크,19,36,0,43,0
32,몬티스 맥주,29,38,10,13,1
33,벨킨스,0,57,42,0,0
34,부드바르,22,3,49,21,8
35,붐버스,9,72,5,12,0
36,브로우체코,33,13,19,44,8
37,브루클린IPA,27,23,24,18,1
38,브루클린라거,28,55,12,3,0
39,브루클린브라운에일,4,78,0,11,3
40,비라모레띠,22,53,8,9,0
41,칼스버그 맥주,25,35,20,9,3
42,사이공 맥주,42,12,5,9,22
43,산미구엘라이트,14,49,8,19,0
44,산미구엘세르베자,8,54,2,27,3
45,삿포로프리미엄,26,26,17,14,5
46,세인트버나두스 트리펠,39,17,34,32,16
47,슈나이더운저오리지날,51,8,11,32,4
48,슈나이더아벤티누스,41,15,22,24,10
49,슈나이더마인호펜바이세,53,8,8,25,0
50,에스트렐라 맥주,59,28,10,4,4
51,바바리아 프리미엄,25,19,22,19,6
52,모젤 맥주,43,23,18,11,5
53,스파텐 맥주,13,46,2,27,6
54,칭따오 맥주,10,38,19,12,2
55,그롤쉬 프리미엄 라거,24,12,39,12,4
56,슈퍼복 맥주,31,13,16,20,5
57,감브리너스 맥주,17,29,40,10,0
58,발리골드 맥주,16,43,13,18,0
59,벨틴스 맥주,21,26,21,20,3
60,DAB 맥주,24,2,24,33,5
61,볼비어라거맥주,17,16,47,16,4
62,레페브라운 에일,33,14,24,21,8
63,호가든 오리지날,40,2,22,20,14
64,스텔라 아르투아 맥주,25,24,28,15,9
65,기린이치방 맥주,21,6,31,22,5
66,벡스 맥주,28,4,24,25,5
67,아사히 드라이 블랙 맥주,38,2,25,18,5
68,코젤 다크,31,1,28,20,5
69,펠트슐로센 다크,33,0,30,27,3
70,펠트슐로센 헤페바이젠,52,1,21,20,8
71,와바 둔켈 맥주,29,4,32,22,10
